GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
WeatherBot,dao,WeatherDao,28,0,0,0,6,0,6,0,6,0
WeatherBot,dao,UserDao,28,0,0,0,6,0,6,0,6,0
WeatherBot,ui,BotUi,49,0,0,0,16,0,2,0,2,0
WeatherBot,domain,User,14,39,3,5,7,14,5,6,2,5
WeatherBot,domain,WeatherService,69,37,1,1,15,8,2,4,1,4
WeatherBot,domain,Bot,27,92,2,7,7,26,2,9,0,5
WeatherBot,domain,BotApp,16,0,0,0,7,0,4,0,4,0
WeatherBot,domain,Weather,67,3,0,0,18,1,11,1,11,1
WeatherBot,domain,KeyboardBuilder,0,118,0,0,0,24,0,3,0,3
WeatherBot,domain,ReplyMessage,0,40,0,0,0,15,0,3,0,3
